Seq,bb86_Maj_pc,bb86_Min_pc,bb86_PA_astro_deg,bb86_v_center_kms,joint_Maj_pc,joint_Min_pc,joint_PA_astro_deg,joint_v_center_kms,joint_status,joint_pa_mode,joint_nch_used,joint_source_status,cg2d_Maj_pc,cg2d_Min_pc,cg2d_PA_astro_deg,cg2d_v_center_kms,cg2d_source_status,Maj_pc,Min_pc,PA_astro_deg,v_center_kms,geometry_source,axes_swapped_for_hist,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
29,100.0,140.0,90.0,-432.6,201.7043288178309,144.07452058416496,-20.0,-432.6,refit_recommended,pa-90,2,joint_contrast_refit,129.80281690140845,127.20676056338029,,-432.6,CumulativeGrowth2D,129.80281690140845,127.20676056338029,-20.0,-432.6,CumulativeGrowth2D,False,0.9800000000000001,128.4982328673424,12968.334135006979,160.0
30,60.0,100.0,0.0,-424.3,112.56740485864336,87.19436717648831,-90.0,-424.3,refit_recommended,pa-90,2,joint_contrast_refit,100.0,60.00000000000001,,-424.3,CumulativeGrowth2D,100.0,60.00000000000001,-90.0,-424.3,CumulativeGrowth2D,False,0.6000000000000001,77.45966692414834,4712.3889803846905,90.0
31,0.0,120.0,43.0,-362.5,236.2618791655277,236.2618791655277,43.0,-362.5,refit_recommended,pa-90,2,joint_contrast_refit,347.2548775676661,216.06970159765893,,-362.5,CumulativeGrowth2D,347.2548775676661,216.06970159765893,43.0,-362.5,CumulativeGrowth2D,False,0.6222222222222223,273.9183414347736,58929.41205339636,43.0
32,140.0,160.0,90.0,-391.4,160.48011180346745,160.48011180346745,-90.0,-391.4,refit_recommended,pa-90,2,joint_contrast_refit,164.33239436619718,161.0457464788732,,-391.4,CumulativeGrowth2D,164.33239436619718,161.0457464788732,-90.0,-391.4,CumulativeGrowth2D,False,0.9799999999999999,162.68077059494402,20785.588407772557,90.0
33,80.0,80.0,0.0,-395.5,146.45828853967348,146.45828853967348,0.0,-395.5,refit_recommended,pa-90,2,joint_contrast_refit,227.47258223728784,222.9231305925421,,-395.5,CumulativeGrowth2D,227.47258223728784,222.9231305925421,0.0,-395.5,CumulativeGrowth2D,False,0.9800000000000001,225.18636760760117,39826.677050667065,0.0
34,200.0,340.0,43.0,-482.1,120.0,70.58823529411765,73.0,-482.1,refit_recommended,pa-90,2,joint_contrast_refit,238.9014084507042,234.1233802816901,,-482.1,CumulativeGrowth2D,238.9014084507042,234.1233802816901,73.0,-482.1,CumulativeGrowth2D,False,0.9799999999999999,236.50032833071413,43929.20839744236,73.0
35,140.0,260.0,0.0,-383.1,253.7043288178309,136.61001270113874,-60.0,-383.1,refit_recommended,pa-90,2,joint_contrast_refit,170.12957746478872,166.72698591549295,,-383.1,CumulativeGrowth2D,170.12957746478872,166.72698591549295,-60.0,-383.1,CumulativeGrowth2D,False,0.98,168.41968906805582,22277.969438720687,120.0
36,240.0,400.0,120.0,-379.0,400.0,239.9999520000096,-60.0,-379.0,refit_recommended,pa-90,2,joint_contrast_refit,301.5887323943662,295.55695774647893,,-379.0,CumulativeGrowth2D,301.5887323943662,295.55695774647893,-60.0,-379.0,CumulativeGrowth2D,False,0.9800000000000001,298.5576129277159,70007.75981681947,120.0
37,60.0,180.0,0.0,-424.3,176.45828853967348,58.81942951322449,70.0,-424.3,refit_recommended,pa-90,2,joint_contrast_refit,180.0,60.00000000000001,,-424.3,CumulativeGrowth2D,180.0,60.00000000000001,70.0,-424.3,CumulativeGrowth2D,False,0.33333333333333337,103.92304845413264,8482.300164692442,70.0
38,0.0,60.0,90.0,-436.7,147.10313194254616,147.10313194254616,-65.0,-436.7,refit_recommended,pa-90,2,joint_contrast_refit,200.0809781928406,196.07935862898373,,-436.7,CumulativeGrowth2D,200.0809781928406,196.07935862898373,-65.0,-436.7,CumulativeGrowth2D,False,0.9799999999999996,198.07006305323344,30812.544300980044,115.0
