Seq,label,Maj_pc,Min_pc,q_ba,PA_deg,v_center_kms,RA_deg,Dec_deg
203,CAP30_POSTPV_0363,319.0,287.1,0.9,50.0,-565.3794633442565,10.134693991127044,40.71550450100736
204,CAP30_POSTPV_0365,303.6,303.6,1.0,-45.0,-449.9130130267725,10.549464152427593,40.94230749143238
205,CAP30_POSTPV_0366,360.0,360.0,1.0,-90.0,-540.6366525619385,9.759902027693084,40.45333690572192
206,CAP30_POSTPV_0367,366.85,330.165,0.9,65.0,-536.5128507648855,9.86987671884648,40.32595993506031
207,CAP30_POSTPV_0369,414.0,414.0,1.0,-90.0,-115.8850674654795,11.076294485428113,41.84104666811648
208,CAP30_POSTPV_0370,366.85,330.165,0.9,-50.0,-466.40822021498445,10.338087185174476,40.54128796354155
209,CAP30_POSTPV_0371,396.75,396.75,1.0,-90.0,-293.2085447387585,10.595330798754842,41.421521191458616
210,CAP30_POSTPV_0373,414.0,372.6,0.9,-90.0,-305.5799501299175,10.291016473560472,41.359774575438365
211,CAP30_POSTPV_0374,506.25299999999993,455.6277,0.9000000000000001,-20.0,-346.8179681004475,10.741508907467686,41.04195766203405
212,CAP30_POSTPV_0375,345.0,345.0,1.0,-90.0,-140.6278782477975,11.118668183993968,41.93131974258305
213,CAP30_POSTPV_0377,366.85,330.165,0.9,-45.0,-111.76126566842647,11.29660554600082,42.107487031189926
214,CAP30_POSTPV_0378,319.0,255.2,0.7999999999999999,35.0,-165.3706890301155,10.997932356396214,41.82864387760382
215,CAP30_POSTPV_0383,421.8775,295.31425,0.7000000000000001,45.0,-210.73250879769853,10.889532364272256,41.79582753606242
216,CAP30_POSTPV_0385,421.8775,379.68975,0.9,40.0,-507.64623818551456,10.012791058417353,40.4464936309
217,CAP30_POSTPV_0387,366.85,256.795,0.7,5.0,-507.64623818551456,9.983558106359784,40.43187134167651
218,CAP30_POSTPV_0388,414.0,414.0,1.0,-90.0,-115.8850674654795,10.928672473231202,41.70241519096061
219,CAP30_POSTPV_0389,364.32,255.024,0.7000000000000001,55.0,-421.0464004474015,10.23869838387358,41.0816640369454
220,CAP30_POSTPV_0390,440.22,396.198,0.8999999999999999,-90.0,-256.0943285652815,10.610619695548223,41.656951525840775
221,CAP30_POSTPV_0391,483.0,483.0,1.0,-90.0,-478.7796256061435,10.458345272123337,40.9188303414434
222,CAP30_POSTPV_0393,462.55,462.55,1.0,-90.0,-128.2564728566385,11.08662866324909,41.8835142480209
223,CAP30_POSTPV_0396,414.0,414.0,1.0,-90.0,-487.0272292002495,10.188600333077888,40.51420632549935
224,CAP30_POSTPV_0397,609.0,609.0,1.0,-90.0,-74.6470494949495,11.234659046301656,41.89388356087775
225,CAP30_POSTPV_0398,366.85,220.11,0.6,75.0,-445.7892112297195,10.331693768295818,40.575299064901046
226,CAP30_POSTPV_0400,360.0,324.0,0.9,-85.0,-260.21813036233453,10.683305451143584,41.61614100220185
227,CAP30_POSTPV_0403,360.0,360.0,1.0,-90.0,-478.7796256061435,9.391459201153063,40.33195220765328
228,CAP30_POSTPV_0406,435.0,435.0,1.0,-90.0,-524.1414453737265,10.009541075056084,40.42480484588263
229,CAP30_POSTPV_0407,414.0,248.39999999999995,0.5999999999999999,25.0,-326.1989591151825,10.839703082697207,41.138673635938005
230,CAP30_POSTPV_0410,531.9325,531.9325,1.0,-90.0,-305.5799501299175,10.381878956329878,41.35879805712169
231,CAP30_POSTPV_0412,497.64,248.82,0.5,15.0,-557.1318597501505,10.01473819027624,40.635275943032674
232,CAP30_POSTPV_0413,480.0,336.0,0.7,15.0,-54.0280405096845,11.103461405416004,41.60455304061855
233,CAP30_POSTPV_0414,435.0,391.5,0.9,-90.0,-289.0847429417055,10.556050580100653,41.428428674417056
234,CAP30_POSTPV_0415,678.6,678.6,1.0,-15.0,-536.5128507648855,9.826319380184406,40.44135386933997
235,CAP30_POSTPV_0417,601.315,601.315,1.0,-80.0,-202.4849052035925,10.813162830511551,41.70898906590744
