object_uid,tracer,source_catalog,display_label,candidate_id,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,v_center_kms,Maj_pc,Min_pc,PA_astro_deg,v9_final_score,v9_reject_reason,marker_size,validation_png,notes
Potential_new_HI_Candidate_0037,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0037,37,11.38535995808204,41.802651819298426,31.59759597720794,32.034109157905704,78.91878260869565,71.02690434782609,15.0,-87.01845488610851,264.0,237.6,15.0,0.1237181398878415,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,figures/potential_hi_candidates_v9/new_candidate_0337_v9_pv_diagnostic.png,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0134,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0134,134,11.328471471778652,42.05592067282697,29.032070890333895,47.23024036961846,95.36019565217391,85.82417608695653,-85.0,-62.275644103790505,319.0,287.1,-85.0,0.1236303189785892,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0242,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0242,242,11.30456330632144,41.69421406365684,27.95387383769123,25.52784381941038,125.55260869565218,125.55260869565218,-90.0,-115.8850674654795,420.0,420.0,-90.0,0.1222348765213413,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0109,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0109,109,11.341248288293563,42.09752168692462,29.608272604061682,49.72630121547752,95.36019565217391,85.82417608695653,45.0,-82.89465308905551,319.0,287.1,45.0,0.1222056482957164,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0250,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0250,250,11.682416289992794,42.23388743427446,44.99407602534102,57.90824605646762,114.4322347826087,108.71062304347826,30.0,-41.6566351185255,382.8,363.66,30.0,0.122094013662335,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0165,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0165,165,11.109034664699772,41.85829434464626,19.136032691284754,35.372660678775816,95.36019565217391,85.82417608695653,-15.0,-99.3898602772675,319.0,287.1,-15.0,0.1217909060053541,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0136,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0136,136,11.08005338387164,41.815754738338704,17.82905112355955,32.82028430032241,95.36019565217391,85.82417608695653,-25.0,-128.2564728566385,319.0,287.1,-25.0,0.1217860022601261,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0054,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0054,54,11.356374662081532,42.04103977605474,30.290433335488196,46.33738656328447,78.91878260869565,63.13502608695652,40.0,-45.780436915578505,264.0,211.2,40.0,0.12177995615249,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,figures/potential_hi_candidates_v9/new_candidate_0154_v9_pv_diagnostic.png,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0227,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0227,227,11.44986145006922,41.83641574278652,34.50644812966996,34.05994456719142,114.4322347826087,108.71062304347826,-45.0,-66.3994459008435,382.8,363.66,-45.0,0.1216544478218498,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0246,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0246,246,11.382755849951636,41.82016880217996,31.480157367541747,33.085128130797585,125.55260869565218,125.55260869565218,-90.0,-74.6470494949495,420.0,420.0,-90.0,0.1213756168729014,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
