Seq,tracer,source_catalog,object_label,ra_deg,dec_deg,x_arcmin,y_arcmin,HRV,Maj,Min,PA,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,has_video,video_path,video_name,contrast_joint_refit_png,summary_2dcg_png
28,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0037,9.964285426379876,40.54440446140147,-32.48922717988123,-43.46073231591163,-557.1318597501505,345.0,345.0,-90.0,809,223,223,CAP30_POSTPV_0037,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
29,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0040,10.189090453838425,40.96479167372233,-22.35109598538023,-18.237499576659957,-470.5320220120375,414.0,372.6,10.0,895,241,241,CAP30_POSTPV_0040,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
30,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0041,10.764153114946676,41.64430892473539,3.5827577601695935,22.533535484123632,-227.2277159859105,440.22,440.22,-65.0,945,247,247,CAP30_POSTPV_0041,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
31,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0042,10.055699689102983,40.50313397161548,-28.366677969070853,-45.936961703070835,-528.2652471707795,319.0,319.0,-90.0,979,253,253,CAP30_POSTPV_0042,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
32,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0043,11.414396512130647,41.75080308647209,32.90707022566656,28.923185188325533,-132.3802746536915,366.85,220.11,40.0,1015,259,259,CAP30_POSTPV_0043,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
33,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0044,10.827809417271736,41.686054645874286,6.453494022717207,25.03827875245733,-202.4849052035925,366.85,330.165,-80.0,1036,265,265,CAP30_POSTPV_0044,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
34,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0045,11.129075571320714,41.924474507606575,20.039826271334086,39.3434704563947,-132.3802746536915,366.85,256.795,25.0,1084,271,271,CAP30_POSTPV_0045,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
35,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0046,9.952299163822689,40.36986014344856,-33.02977693408503,-53.93339139308608,-528.2652471707795,440.22,396.198,-45.0,1129,277,277,CAP30_POSTPV_0046,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
36,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0048,10.960040916428872,41.20553300477521,12.416796096767923,-3.793019713487098,-280.83713934759953,390.0,234.0,85.0,1189,289,289,CAP30_POSTPV_0048,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
37,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0049,10.79926629277091,41.00469213837174,5.166272183589548,-15.843471697695577,-342.6941663033945,414.0,414.0,-90.0,1226,295,295,CAP30_POSTPV_0049,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
