object_uid,tracer,source_catalog,display_label,hi_seq,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,marker_size,has_video,notes,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,Maj_pc,PA_astro_deg,age_myr,mass_msun,luminosity,v9_final_score,v9_reject_reason,validation_png,e_bv,Min_pc,fuv_mag,v_center_kms,area_pc2,area_arcsec2,flux,nuv_mag,video_url,video_path,video_name,video_release_tag,v11_source_candidate_id,v11_match_sep_arcsec,v11_diagnostic_png,v11_plot_class,v11_passes_2dcg,v11_joint_2dcg_score,v11_final_Maj_pc,v11_final_Min_pc,v11_final_PA_astro_deg,v11_final_v_center_kms,flux_erg_cm2_s,luminosity_erg_s_at_690kpc,count_rate,detection_likelihood,hardness_hr1,hardness_hr2,hardness_hr3,hardness_hr4,source_class,band
UV_Kang2009_4261,UV,Kang+2009 GALEX SF regions,UV SF 4261,,11.289403,41.783325,27.270182835878945,30.87450000000004,,,,5.711829829397932,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,41.7,17000.0,,,,,0.34,,19.517,,1889.3822625,130.5,,19.466,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4262,UV,Kang+2009 GALEX SF regions,UV SF 4262,,11.035192,41.783497,15.805917564674118,30.88481999999999,,,,7.463243262818116,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,86.5,120000.0,,,,,0.41,,19.136,,3225.7039700000005,222.8,,18.921,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4264,UV,Kang+2009 GALEX SF regions,UV SF 4264,,11.040332,41.788326,16.0377184052907,31.17456000000004,,,,5.511351921262151,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,33.7,3200.0,,,,,0.28,,20.494,,1759.0800375,121.5,,20.483,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4265,UV,Kang+2009 GALEX SF regions,UV SF 4265,,11.699626,41.791775,45.77018988651587,31.381500000000244,,,,6.1400325732035,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,31.0,2500.0,,,,,0.08,,19.119,,2183.2861700000003,150.8,,19.135,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4266,UV,Kang+2009 GALEX SF regions,UV SF 4266,,11.062535,41.792763,17.039016861362914,31.440780000000217,,,,5.612486080160912,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,164.9,120000.0,,,,,0.24,,19.269,,1824.23115,126.0,,18.929,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4267,UV,Kang+2009 GALEX SF regions,UV SF 4267,,11.050551,41.797474,16.498569142695672,31.72344000000024,,,,10.920164833920778,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,114.2,69000.0,,,,,0.24,,18.608,,6906.017925,477.0,,18.375,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4268,UV,Kang+2009 GALEX SF regions,UV SF 4268,,11.414142,41.79784,32.895592380174115,31.745400000000217,,,,8.874119674649425,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,7.6,4200.0,,,,,0.32,,18.632,,4560.577875,315.0,,18.755,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4270,UV,Kang+2009 GALEX SF regions,UV SF 4270,,10.989513,41.801319,13.745911611653348,31.954140000000137,,,,5.711829829397932,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,23.5,4400.0,,,,,0.3,,19.773,,1889.3822625,130.5,,19.789,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4271,UV,Kang+2009 GALEX SF regions,UV SF 4271,,11.040677,41.809563,16.05327702202475,32.44878,,,,7.5,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,131.6,52000.0,,,,,0.31,,19.447,,3257.555625,225.0,,19.163,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4272,UV,Kang+2009 GALEX SF regions,UV SF 4272,,11.074761,41.812069,17.590378160463864,32.59914000000023,,,,9.633275663033835,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,81.9,39000.0,,,,,0.27,,19.094,,5374.24288,371.2,,18.934,,,,,,,,,,,,,,,,,,,,,,,,
